,time_zone,name,coordinates,code,country_code
1752,America/Chicago,Talladega,"{'lon': -86.1, 'lat': 33.433334}",ASN,US
1753,Asia/Almaty,Astana (Nursultan),"{'lon': 71.4612, 'lat': 51.02781}",TSE,KZ
1754,America/Denver,Great Falls,"{'lon': -111.3008083, 'lat': 47.5002354}",GTF,US
1755,America/Mazatlan,Tepic,"{'lon': -104.9, 'lat': 21.5}",TPQ,MX
1756,Africa/Nairobi,Amboseli,"{'lon': 37.25, 'lat': -2.633333}",ASV,KE
1757,Australia/Brisbane,Doomadgee,"{'lon': 138.8216, 'lat': -17.939201}",DMD,AU
1758,America/Chicago,Fort Worth,"{'lon': -97.333336, 'lat': 32.75}",FTW,US
1759,Africa/Johannesburg,Sabi Sabi,"{'lon': 30.8, 'lat': -25.116667}",GSS,ZA
1760,Pacific/Port_Moresby,Awar,"{'lon': 144.87029, 'lat': -4.124167}",AWR,PG
1761,America/Lima,Trujillo,"{'lon': -79.115, 'lat': -8.09}",TRU,PE
1762,America/Anchorage,Atqasuk,"{'lon': -157.33333, 'lat': 70.5}",ATK,US
1763,Asia/Taipei,Taipei,"{'lon': 121.5598345, 'lat': 25.091075}",TPE,TW
1764,Asia/Jayapura,Saumlaki,"{'lon': 131.31667, 'lat': -7.966667}",SXK,ID
1765,Europe/Bucharest,Timisoara,"{'lon': 21.32012, 'lat': 45.809925}",TSR,RO
1766,Asia/Muscat,Thumrait,"{'lon': 54.0, 'lat': 17.633333}",TTH,OM
1767,America/Chicago,Gulf Shores,"{'lon': -87.583336, 'lat': 30.166668}",GUF,US
1768,America/Denver,Scottsbluff,"{'lon': -103.60111, 'lat': 41.87528}",BFF,US
1769,Pacific/Port_Moresby,Indagen,"{'lon': 147.25, 'lat': -6.2}",IDN,PG
1770,Australia/Sydney,Thredbo,,QTH,AU
1771,Australia/Brisbane,Townsville,"{'lon': 146.7708, 'lat': -19.256506}",TSV,AU
1772,America/Nome,Alakanuk,"{'lon': -164.61084, 'lat': 62.689167}",AUK,US
1773,Pacific/Port_Moresby,Guriaso,"{'lon': 141.58333, 'lat': -3.583333}",GUE,PG
1774,Africa/Algiers,Timimoun,"{'lon': 0.283333, 'lat': 29.233334}",TMX,DZ
1775,America/Chicago,Hattiesburg,"{'lon': -89.26667, 'lat': 31.316668}",HBG,US
1776,America/Chicago,Britton,"{'lon': -97.75, 'lat': 45.8}",TTO,US
1777,Asia/Jayapura,Arso,"{'lon': 140.78334, 'lat': -2.933333}",ARJ,ID
1778,Australia/Brisbane,Tewantin,"{'lon': 153.05, 'lat': -26.4}",TWN,AU
1779,Africa/Bangui,Gordil,"{'lon': 21.583332, 'lat': 9.733333}",GDI,CF
1780,Africa/Dakar,Tambacounda,"{'lon': -13.658333, 'lat': 13.736111}",TUD,SN
1781,America/Bogota,Yaguara,"{'lon': -73.933334, 'lat': 1.533333}",AYG,CO
1782,Europe/Istanbul,Adana,"{'lon': 35.3213333, 'lat': 37.0}",ADA,TR
1783,America/Bogota,Yari,"{'lon': -72.333336, 'lat': -0.333333}",AYI,CO
1784,Pacific/Marquesas,Ua Huka,"{'lon': -139.55, 'lat': -8.933333}",UAH,PF
1785,America/Los_Angeles,Port Townsend,"{'lon': -122.76667, 'lat': 48.11667}",TWD,US
1786,Europe/Amsterdam,Uden,"{'lon': 5.616667, 'lat': 51.666668}",UDE,NL
1787,Australia/Perth,Beverley Springs,"{'lon': 124.0, 'lat': -15.0}",BVZ,AU
1788,Europe/Rome,Grosseto,"{'lon': 11.070556, 'lat': 42.761944}",GRS,IT
1789,Africa/Algiers,Béchar,"{'lon': -2.259722, 'lat': 31.647778}",CBH,DZ
1790,America/Los_Angeles,Sun River,"{'lon': -121.5, 'lat': 43.916668}",SUO,US
1791,Pacific/Port_Moresby,Amazon Bay,"{'lon': 148.81667, 'lat': -10.15}",AZB,PG
1792,America/Anchorage,Anvik,"{'lon': -160.18889, 'lat': 62.647778}",ANV,US
1793,Pacific/Auckland,Stewart Island,"{'lon': 167.86667, 'lat': -47.0}",SZS,NZ
1794,Asia/Almaty,Usharal,"{'lon': 80.813005, 'lat': 46.1899941}",USJ,KZ
1795,Asia/Tehran,Ilaam,"{'lon': 46.399235, 'lat': 33.58637}",IIL,IR
1796,Asia/Jayapura,Teminabuan,"{'lon': 132.01666, 'lat': -1.433333}",TXM,ID
1797,America/Los_Angeles,Beatty,"{'lon': -116.76667, 'lat': 36.9}",BTY,US
1798,Asia/Colombo,Trincomalee,"{'lon': 81.23291, 'lat': 8.569151}",TRR,LK
1799,Indian/Antananarivo,Ambatomainty,"{'lon': 45.666668, 'lat': -17.683332}",AMY,MG
1800,America/Montreal,Sept-Iles,"{'lon': -66.26404, 'lat': 50.21751}",YZV,CA
1801,America/New_York,Knoxville,"{'lon': -83.98973, 'lat': 35.80565}",TYS,US
1802,Africa/Algiers,Adrar,"{'lon': -0.283333, 'lat': 27.883333}",AZR,DZ
1803,Africa/Lubumbashi,Bunia,"{'lon': 30.212778, 'lat': 1.571667}",BUX,CD
1804,Africa/Luanda,Luau,"{'lon': 22.5, 'lat': -11.0}",UAL,AO
1805,America/Bogota,Currillo,"{'lon': -72.0, 'lat': 4.666667}",CUI,CO
1806,Africa/Maputo,Inhaca,"{'lon': 32.933334, 'lat': -26.0}",IHC,MZ
1807,Asia/Kuching,Bintulu,,ZMK,MY
1808,America/Los_Angeles,Anaheim,"{'lon': -117.933334, 'lat': 33.816666}",ANA,US
1809,Pacific/Port_Moresby,Guari,"{'lon': 146.9, 'lat': -8.516667}",GUG,PG
1810,America/Boa_Vista,Boa Vista,"{'lon': -60.666668, 'lat': 2.833333}",BVB,BR
1811,America/New_York,Blue Bell,"{'lon': -75.2675, 'lat': 40.136665}",BBX,US
1812,Asia/Tehran,Zahedan,"{'lon': 60.90033, 'lat': 29.475756}",ZAH,IR
1813,America/Anchorage,Bear Creek,"{'lon': -109.1, 'lat': 45.183334}",BCC,US
1814,America/Denver,Breckenridge,,QKB,US
1815,Australia/Brisbane,Headingly,"{'lon': 138.28334, 'lat': -21.316668}",HIP,AU
1816,Pacific/Tahiti,Apataki,"{'lon': -146.08333, 'lat': -15.416667}",APK,PF
1817,Asia/Shanghai,Nanhai,"{'lon': -80.79, 'lat': 36.28}",ZEF,CN
1818,Europe/Istanbul,Ankara,"{'lon': 32.85333, 'lat': 39.91825}",ANK,TR
1819,Europe/Brussels,Antwerp,"{'lon': 4.39625, 'lat': 51.21992}",ANR,BE
1820,Africa/Harare,Bulawayo,"{'lon': 28.622616, 'lat': -20.014933}",BUQ,ZW
1821,Asia/Bangkok,Surat Thani,"{'lon': 99.143196, 'lat': 9.133865}",URT,TH
1822,America/Scoresbysund,Neerlerit Inaat,"{'lon': -22.658333, 'lat': 70.74306}",CNP,GL
1823,America/La_Paz,Bermejo,"{'lon': -64.333336, 'lat': -22.866667}",BJO,BO
1824,Asia/Kabul,Uruzgan,"{'lon': 66.61667, 'lat': 32.9}",URZ,AF
1825,Asia/Manila,Bacolod,"{'lon': 122.93359, 'lat': 10.644815}",BCD,PH
1826,Europe/Podgorica,Zabljak,"{'lon': 19.116667, 'lat': 43.15}",ZBK,ME
1827,America/New_York,Baltimore,"{'lon': -76.615, 'lat': 39.286389}",BWI,US
1828,Australia/Darwin,Nutwood Downs,"{'lon': 134.16667, 'lat': -15.816667}",UTD,AU
1829,America/Chicago,Olive Branch,"{'lon': -89.833336, 'lat': 34.966667}",OLV,US
1830,Australia/Sydney,Cowra,"{'lon': 148.64667, 'lat': -33.855}",CWT,AU
1831,America/Guyana,Bemichi,"{'lon': -58.55, 'lat': 6.55}",BCG,GY
1832,America/Caracas,Canaima,"{'lon': -62.833332, 'lat': 6.25}",CAJ,VE
1833,Australia/Brisbane,Barcaldine,"{'lon': 145.30194, 'lat': -23.559168}",BCI,AU
1834,Australia/Brisbane,Bolwarra,"{'lon': 144.16667, 'lat': -17.4}",BCK,AU
1835,Pacific/Guadalcanal,Suavanao,"{'lon': 158.66667, 'lat': -7.566667}",VAO,SB
1836,America/New_York,Winchester,"{'lon': -78.14278, 'lat': 39.14111}",WGO,US
1837,America/Blanc-Sablon,Old Fort Bay,"{'lon': -57.916668, 'lat': 51.583332}",ZFB,CA
1838,Europe/Copenhagen,Fredericia,,ZBJ,DK
1839,Europe/Dublin,Bantry,"{'lon': -9.45, 'lat': 51.683334}",BYT,IE
1840,America/Sao_Paulo,Aruja,"{'lon': -46.3214444, 'lat': -23.3964516}",ZFU,BR
1841,Africa/Lagos,Bauchi,"{'lon': 9.8, 'lat': 10.366667}",BCU,NG
1842,America/Chicago,Columbus,"{'lon': -97.34167, 'lat': 41.447224}",OLU,US
1843,Asia/Kuala_Lumpur,Tanjung Pelepas,,ZJT,MY
1844,Indian/Antananarivo,Belo,"{'lon': 44.05, 'lat': -20.733334}",BMD,MG
1845,Africa/Lusaka,Ngoma,"{'lon': 25.934444, 'lat': -15.958333}",ZGM,ZM
1846,Australia/Brisbane,Bundaberg,"{'lon': 152.32187, 'lat': -24.898708}",BDB,AU
1847,America/Los_Angeles,Clear Lake,"{'lon': -122.62222, 'lat': 38.934723}",CKE,US
1848,Australia/Brisbane,Batavia Downs,"{'lon': 143.21666, 'lat': -12.65}",BVW,AU
1849,Atlantic/Canary,Valverde,"{'lon': -17.884937, 'lat': 27.813969}",VDE,ES
1850,America/Denver,Ogden,"{'lon': -111.9738304, 'lat': 41.223}",OGD,US
1851,America/Edmonton,High Prairie,"{'lon': -116.48333, 'lat': 55.4}",ZHP,CA
1852,America/Chicago,Wisconsin Rapids,"{'lon': -89.83889, 'lat': 44.36028}",ISW,US
1853,Africa/Lubumbashi,Gandajika,"{'lon': 23.966667, 'lat': -6.766667}",GDJ,CD
1854,Pacific/Port_Moresby,Teptep,"{'lon': 146.5, 'lat': -5.85}",TEP,PG
1855,America/Blanc-Sablon,Gethsemani,"{'lon': -60.666668, 'lat': 50.333332}",ZGS,CA
1856,America/Chicago,Baudette,"{'lon': -94.60694, 'lat': 48.72278}",BDE,US
1857,America/Denver,Kemerer,"{'lon': -110.55, 'lat': 41.783333}",EMM,US
1858,Pacific/Efate,Gaua,"{'lon': 167.58827, 'lat': -14.220086}",ZGU,VU
1859,America/Chicago,Batesville,"{'lon': -91.65, 'lat': 35.766666}",BVX,US
1860,Asia/Jakarta,Cilacap,"{'lon': 109.0, 'lat': -7.733333}",CXP,ID
1861,Africa/Casablanca,Dakhla,"{'lon': -15.935, 'lat': 23.713333}",VIL,MA
1862,Australia/Perth,Barrow Island,"{'lon': 115.416664, 'lat': -20.783333}",BWB,AU
1863,America/Chicago,Rockford,"{'lon': -89.1, 'lat': 42.266666}",RMC,US
1864,America/Bogota,La Primavera,"{'lon': -76.21667, 'lat': 3.733333}",LPE,CO
1865,America/Havana,Holguin,"{'lon': -76.315, 'lat': 20.785278}",HOG,CU
1866,Europe/Berlin,Jena,"{'lon': 109.409706, 'lat': 18.31063}",ZJS,DE
1867,America/Port-au-Prince,Les Cayes,"{'lon': -73.78833, 'lat': 18.269722}",CYA,HT
1868,Africa/Kinshasa,Gbadolite,"{'lon': 22.45, 'lat': 4.083333}",BDT,CD
1869,Asia/Damascus,Aleppo,"{'lon': 37.227074, 'lat': 36.185352}",ALP,SY
1870,America/Anchorage,Boundary,"{'lon': -141.11444, 'lat': 64.076385}",BYA,US
1871,Australia/Perth,Bedford Downs,"{'lon': 127.46667, 'lat': -17.3}",BDW,AU
1872,Asia/Kolkata,Warangal,"{'lon': 79.6, 'lat': 17.916668}",WGC,IN
1873,America/Chicago,Milwaukee,"{'lon': -87.9064736, 'lat': 43.0389025}",MKE,US
1874,America/Denver,Broadus,"{'lon': -105.36667, 'lat': 45.466667}",BDX,US
1875,America/New_York,Zephyrhills,"{'lon': -82.183334, 'lat': 28.233334}",ZPH,US
1876,America/Puerto_Rico,Fajardo,"{'lon': -65.50222, 'lat': 18.338888}",FAJ,PR
1877,America/Vancouver,Queen Charlotte Island,"{'lon': -132.0, 'lat': 53.0}",ZQS,CA
1878,America/New_York,Fort Bragg,"{'lon': -79.01667, 'lat': 35.166668}",FBG,US
1879,Asia/Shanghai,Shekou,"{'lon': 113.913648, 'lat': 22.468485}",ZYK,CN
1880,Europe/Zurich,Weinfelden,"{'lon': 94.683334, 'lat': 40.2}",ZLD,CH
1881,Africa/Johannesburg,Vredendal,"{'lon': 18.5, 'lat': -31.666668}",VRE,ZA
1882,America/Phoenix,Kingman,"{'lon': -113.94, 'lat': 35.256668}",IGM,US
1883,America/Phoenix,Lake Havasu City,"{'lon': -114.35528, 'lat': 34.568333}",HII,US
1884,America/Denver,Cheyenne,"{'lon': -104.8202462, 'lat': 41.1399814}",CYS,US
1885,Europe/Zurich,Buochs,"{'lon': 8.383333, 'lat': 46.966667}",BXO,CH
1886,Africa/Johannesburg,Vryburg,"{'lon': 24.75, 'lat': -26.916668}",VRU,ZA
1887,Asia/Makassar,Bontang,"{'lon': 117.5, 'lat': 0.166667}",BXT,ID
1888,Atlantic/Azores,Horta (Azores),"{'lon': -28.717222, 'lat': 38.52}",HOR,PT
1889,Europe/Zurich,Zurich,"{'lon': 8.5500025, 'lat': 47.367347}",ZRH,CH
1890,America/Chicago,Hot Springs,"{'lon': -93.09611, 'lat': 34.47889}",HOT,US
1891,Europe/London,Benbecula,"{'lon': -7.376028, 'lat': 57.473415}",BEB,GB
1892,Pacific/Port_Moresby,Garasa,"{'lon': 147.18333, 'lat': -7.95}",GRL,PG
1893,America/Los_Angeles,Ukiah,"{'lon': -123.2, 'lat': 39.126667}",UKI,US
1894,Australia/Brisbane,Heron Island,"{'lon': 151.91667, 'lat': -23.433332}",HRN,AU
1895,America/Detroit,Benton Harbor,"{'lon': -86.42833, 'lat': 42.127777}",BEH,US
1896,Asia/Jayapura,Wagethe,"{'lon': 135.83333, 'lat': -4.166667}",WET,ID
1897,Europe/Oslo,Arendal,,XGD,NO
1898,America/New_York,Hartford,"{'lon': -72.6850932, 'lat': 41.7637111}",HFD,US
1899,Europe/Paris,Brest,"{'lon': -4.415827, 'lat': 48.445374}",BES,FR
1900,Africa/Khartoum,Wadi Halfa,"{'lon': 31.5, 'lat': 21.75}",WHF,SD
1901,America/Winnipeg,Sandy Lake,"{'lon': -93.23333, 'lat': 53.033333}",ZSJ,CA
1902,America/Guayaquil,Bahia De Caraquez,"{'lon': -80.416664, 'lat': -0.6}",BHA,EC
1903,Africa/Maputo,Beira,"{'lon': 34.90192, 'lat': -19.798805}",BEW,MZ
1904,Australia/Brisbane,Dauan Island,"{'lon': 142.53334, 'lat': -9.433333}",DAJ,AU
1905,America/Winnipeg,Shamattawa,"{'lon': -92.0864, 'lat': 55.858665}",ZTM,CA
1906,Europe/Berlin,Goettingen,,ZEU,DE
1907,Asia/Karachi,Mansehra,"{'lon': 73.2, 'lat': 34.333332}",HRA,PK
1908,Europe/Bratislava,Presov,"{'lon': 21.25, 'lat': 49.0}",POV,SK
1909,Pacific/Port_Moresby,Annanberg,"{'lon': 144.65, 'lat': -4.916667}",AOB,PG
1910,America/Santiago,Ancud,"{'lon': -73.833336, 'lat': -42.0}",ZUD,CL
1911,Asia/Dhaka,Barisal,"{'lon': 90.3, 'lat': 22.8}",BZL,BD
1912,Asia/Riyadh,Al Ula,"{'lon': 37.866665, 'lat': 26.616667}",ULH,SA
1913,Europe/London,Harrogate,"{'lon': -1.55, 'lat': 54.0}",HRT,GB
1914,America/Argentina/Buenos_Aires,Bahia Blanca,"{'lon': -62.150555, 'lat': -38.730556}",BHI,AR
1915,Asia/Tokyo,Shimojishima,"{'lon': 125.15, 'lat': 24.816668}",SHI,JP
1916,America/Mexico_City,S.Cristobal deL Casas,"{'lon': -92.54417, 'lat': 16.690556}",SZT,MX
1917,Europe/Copenhagen,Aarhus,"{'lon': 10.203921, 'lat': 56.162939}",AAR,DK
1918,Asia/Kolkata,Bhopal,"{'lon': 77.34177, 'lat': 23.284761}",BHO,IN
1919,Asia/Dubai,Abu Dhabi,"{'lon': 54.3666667, 'lat': 24.4666667}",AUH,AE
1920,America/Anchorage,Amook,"{'lon': -153.83333, 'lat': 57.466667}",AOS,US
1921,Europe/London,Isle Of Colonsay,"{'lon': -6.2, 'lat': 56.083332}",CSA,GB
1922,Asia/Kuala_Lumpur,Penang,,ZJR,MY
1923,America/New_York,Albany,"{'lon': -73.7562317, 'lat': 42.6525793}",ALB,US
1924,Europe/Paris,Saint Tropez,"{'lon': 6.633333, 'lat': 43.283333}",LTT,FR
1925,America/Los_Angeles,Napa,"{'lon': -122.28, 'lat': 38.212223}",APC,US
1926,Australia/Brisbane,Lotusvale,"{'lon': 141.38333, 'lat': -17.05}",LTV,AU
1927,Europe/Stockholm,Idre,"{'lon': 12.683333, 'lat': 61.86667}",IDB,SE
1928,Asia/Kolkata,Bhavnagar,"{'lon': 72.18444, 'lat': 21.755}",BHU,IN
1929,America/New_York,Washington,"{'lon': -77.0363658, 'lat': 38.8951118}",WAS,US
1930,Pacific/Auckland,Hamilton,"{'lon': 175.33603, 'lat': -37.86622}",HLZ,NZ
1931,Europe/Oslo,Alvdal,,XJA,NO
1932,America/New_York,Naples,"{'lon': -81.775276, 'lat': 26.152779}",APF,US
1933,America/Denver,Cut Bank,"{'lon': -112.333336, 'lat': 48.63333}",CTB,US
1934,America/Los_Angeles,Beckwourth,,NVN,US
1935,America/Nassau,Bimini,"{'lon': -79.2507534, 'lat': 25.7428471}",BIM,BS
1936,Asia/Tehran,Birjand,"{'lon': 59.25499, 'lat': 32.89905}",XBJ,IR
1937,America/Sao_Paulo,Apucarana,"{'lon': -51.483334, 'lat': -23.55}",APU,BR
1938,America/New_York,Huntington,"{'lon': -76.28333, 'lat': 36.833332}",HTW,US
1939,Brazil/East,Jericoacoara,"{'lon': -40.6359695, 'lat': -2.8757207}",JJD,BR
1940,Europe/Stockholm,Arvika,,XYY,SE
1941,Asia/Shanghai,Anqing,"{'lon': 117.0509, 'lat': 30.5825}",AQG,CN
1942,Europe/Berlin,Aschaffenburg,,ZCB,DE
1943,Australia/Perth,Marble Bar,"{'lon': 119.583336, 'lat': -21.25}",MBB,AU
1944,America/Cuiaba,Diamantino,"{'lon': -56.5, 'lat': -14.5}",DMT,BR
1945,Europe/London,Ashford,"{'lon': 0.87448, 'lat': 51.1436}",QDH,GB
1946,Asia/Jayapura,Benjina,"{'lon': 134.25, 'lat': -6.083333}",BJK,ID
1947,Africa/Banjul,Banjul,"{'lon': -16.6522, 'lat': 13.34406}",BJL,GM
1948,Europe/London,Bath,"{'lon': -2.356666, 'lat': 51.3775}",QQX,GB
1949,Europe/Rome,Lamezia-Terme,"{'lon': 16.24, 'lat': 38.91}",SUF,IT
1950,Asia/Makassar,Alor Island,"{'lon': 124.53333, 'lat': -8.683333}",ARD,ID
1951,America/Chicago,Huntsville,"{'lon': -86.5861037, 'lat': 34.7303688}",HSV,US
1952,Europe/Madrid,Barcelona,"{'lon': 2.1699187, 'lat': 41.387917}",BCN,ES
1953,Africa/Bujumbura,Bujumbura,"{'lon': 29.366667, 'lat': -3.383333}",BJM,BI
1954,Europe/Oslo,Bergen,"{'lon': 5.3220544, 'lat': 60.3912628}",BGO,NO
1955,Africa/Kinshasa,Mbandaka,"{'lon': 18.292221, 'lat': 0.023333}",MDK,CD
1956,America/New_York,Middletown,"{'lon': -76.85222, 'lat': 40.21611}",HAR,US
1957,Europe/Zurich,Le Locle,,ZJA,CH
1958,Africa/Addis_Ababa,Bahar Dar,"{'lon': 37.32324, 'lat': 11.603292}",BJR,ET
1959,Europe/Stockholm,Borlange/Falun,"{'lon': 15.4363017, 'lat': 60.4856047}",BLE,SE
1960,Africa/Nouakchott,Nema,"{'lon': -7.283333, 'lat': 16.6}",EMN,MR
1961,America/New_York,Neptune,"{'lon': -74.1, 'lat': 40.216667}",ARX,US
1962,Europe/Berlin,Berlin,"{'lon': 13.4113999, 'lat': 52.5234051}",BER,DE
1963,Europe/Istanbul,Bodrum,"{'lon': 27.66, 'lat': 37.25}",BJV,TR
1964,America/Chicago,Breckenridge,"{'lon': -98.9, 'lat': 32.75}",BKD,US
1965,Europe/Zurich,Buchs SG,,ZDO,CH
1966,Pacific/Guadalcanal,Bellona,"{'lon': 159.81667, 'lat': -11.3}",BNY,SB
1967,Pacific/Guadalcanal,Atoifi,"{'lon': 161.03334, 'lat': -8.866667}",ATD,SB
1968,Europe/Oslo,Bjerka,,ZMZ,NO
1969,America/Denver,Afton,"{'lon': -110.933334, 'lat': 42.733334}",AFO,US
1970,Europe/Berlin,Bochum,,QBO,DE
1971,America/Anchorage,Valdez,"{'lon': -146.23889, 'lat': 61.1325}",VDZ,US
1972,America/La_Paz,Potosi,"{'lon': -65.72361, 'lat': -19.543056}",POI,BO
1973,Africa/Maputo,Ibo,"{'lon': 40.583332, 'lat': -12.333333}",IBO,MZ
1974,Europe/Oslo,Bryne,,XOB,NO
1975,Europe/London,Carlisle,"{'lon': -2.809444, 'lat': 54.93667}",CAX,GB
1976,Asia/Rangoon,Mong Ton,"{'lon': 98.9, 'lat': 20.283333}",MGK,MM
1977,Africa/Ndjamena,Bokoro,"{'lon': 17.233334, 'lat': 12.416667}",BKR,TD
1978,America/La_Paz,Guayaramerin,"{'lon': -65.361664, 'lat': -10.83}",GYA,BO
1979,America/New_York,Hyannis,"{'lon': -70.280556, 'lat': 41.665833}",HYA,US
1980,Europe/Budapest,Budapest,"{'lon': 19.0407578, 'lat': 47.4984056}",BUD,HU
1981,Africa/Nouakchott,Atar,"{'lon': -13.046389, 'lat': 20.499443}",ATR,MR
1982,Europe/Stockholm,Hagfors,"{'lon': 13.569167, 'lat': 60.0175}",HFS,SE
1983,Atlantic/Reykjavik,Blonduos,"{'lon': -20.3, 'lat': 65.666664}",BLO,IS
1984,Europe/Madrid,Burgos,"{'lon': -3.62295, 'lat': 42.35494}",RGS,ES
1985,Asia/Kabul,Camp Bastion,"{'lon': 61.983334, 'lat': 31.1}",OAZ,AF
1986,Africa/Kinshasa,Bumba,"{'lon': 22.473333, 'lat': 2.19}",BMB,CD
1987,America/Chicago,Fayetteville,"{'lon': -94.1574263, 'lat': 36.0625795}",FYV,US
1988,Asia/Shanghai,Buerjin,"{'lon': 86.99611, 'lat': 48.22167}",KJI,CN
1989,America/Toronto,Capreol,,XAW,CA
1990,America/Anchorage,Marshall,"{'lon': -162.0689, 'lat': 61.865833}",MLL,US
1991,Europe/London,Chesterfield,,ZFI,GB
1992,America/Detroit,Detroit,"{'lon': -83.0457538, 'lat': 42.331427}",DTT,US
1993,Africa/Bangui,Bakouma,"{'lon': 22.8, 'lat': 5.733333}",BMF,CF
1994,Asia/Shanghai,Zhengzhou,"{'lon': 113.84024, 'lat': 34.52752}",CGO,CN
1995,Australia/Brisbane,Augustus Downs,"{'lon': 139.88167, 'lat': -18.506945}",AUD,AU
1996,Australia/Brisbane,Inkerman,"{'lon': 141.5, 'lat': -16.25}",IKP,AU
1997,Africa/Cairo,Abu Rudeis,"{'lon': 33.183334, 'lat': 28.9}",AUE,EG
1998,America/Chicago,Chicago,"{'lon': -87.6297982, 'lat': 41.8781136}",CHI,US
1999,Europe/Paris,Auxerre,"{'lon': 3.5, 'lat': 47.85}",AUF,FR
2000,Europe/Zurich,Chur,,ZDT,CH
2001,America/Los_Angeles,Coeur D'Alene,"{'lon': -116.76667, 'lat': 47.683334}",COE,US
2002,Asia/Riyadh,Dammam,"{'lon': 49.79778, 'lat': 26.471111}",DMM,SA
2003,America/New_York,Berlin,"{'lon': -71.17639, 'lat': 44.574722}",BML,US
2004,America/Chicago,Tyler,"{'lon': -95.41012, 'lat': 32.351597}",TYR,US
2005,America/Port-au-Prince,Cap Haitien,"{'lon': -72.195, 'lat': 19.732779}",CAP,HT
2006,America/Chicago,Austin,"{'lon': -92.98333, 'lat': 43.666668}",AUM,US
2007,Asia/Makassar,Bima,"{'lon': 118.916664, 'lat': -8.5}",BMU,ID
2008,America/Los_Angeles,Indian Springs,"{'lon': -115.666664, 'lat': 36.583332}",INS,US
2009,Asia/Makassar,Atauro,"{'lon': 125.583336, 'lat': -8.216667}",AUT,ID
2010,America/Montreal,Coteau,,XGK,CA
2011,Asia/Colombo,Colombo,"{'lon': 79.848358, 'lat': 6.927468}",CMB,LK
2012,America/Anchorage,Big Mountain,"{'lon': -155.25667, 'lat': 59.361942}",BMX,US
2013,America/Belize,Corozal,"{'lon': -88.416664, 'lat': 18.383333}",CZH,BZ
2014,Pacific/Efate,Aneityum,"{'lon': 169.66667, 'lat': -20.333332}",AUY,VU
2015,Asia/Shanghai,An Shun,"{'lon': 105.87278, 'lat': 26.257221}",AVA,CN
2016,Europe/Zurich,Dietikon,,ZDX,CH
2017,America/Montreal,Drummondville,,XDM,CA
2018,America/Sao_Paulo,Ipatinga,"{'lon': -42.533333, 'lat': -19.5}",IPN,BR
2019,Australia/Darwin,Auvergne,"{'lon': 130.01666, 'lat': -15.65}",AVG,AU
2020,Asia/Yakutsk,Magdagachi,"{'lon': 125.8, 'lat': 53.466667}",GDG,RU
2021,Africa/Algiers,El Bayadh,"{'lon': 1.094105, 'lat': 33.717804}",EBH,DZ
2022,Australia/Darwin,Katherine,"{'lon': 132.2714, 'lat': -14.4575}",KTR,AU
2023,America/New_York,Avon Park,"{'lon': -81.51667, 'lat': 27.6}",AVO,US
2024,America/Santo_Domingo,Samana,"{'lon': -69.5, 'lat': 19.25}",EPS,DO
2025,America/Chicago,Nashville,"{'lon': -86.668945, 'lat': 36.13174}",BNA,US
2026,Asia/Shanghai,Eren Hot,"{'lon': 112.09845, 'lat': 43.426674}",ERL,CN
2027,America/Los_Angeles,Banning,"{'lon': -116.86667, 'lat': 33.933334}",BNG,US
2028,Europe/Oslo,Elverum,,XUC,NO
2029,Europe/Berlin,Erfurt,"{'lon': 11.0224351, 'lat': 50.9737341}",ERF,DE
2030,Africa/Khartoum,Nyala,"{'lon': 24.894722, 'lat': 12.071667}",UYL,SD
2031,Pacific/Tarawa,Butaritari,"{'lon': 172.75, 'lat': 3.166667}",BBG,KI
2032,America/Edmonton,Fort MacKay,"{'lon': -111.70111, 'lat': 57.381668}",HZP,CA
2033,America/New_York,Fort Lauderdale,"{'lon': -80.1433786, 'lat': 26.1223084}",FLL,US
2034,Africa/Khartoum,Khashm El Girba,"{'lon': 35.88889, 'lat': 14.926389}",GBU,SD
2035,America/Phoenix,Casa Grande,"{'lon': -111.75, 'lat': 32.88333}",CGZ,US
2036,Pacific/Auckland,Coromandel,"{'lon': 175.66667, 'lat': -37.0}",CMV,NZ
2037,Australia/Brisbane,Isisford,"{'lon': 144.42334, 'lat': -24.263332}",ISI,AU
2038,America/Chicago,Alexandria,"{'lon': -95.394165, 'lat': 45.86722}",AXN,US
2039,America/Phoenix,Tucson,"{'lon': -110.926479, 'lat': 32.2217429}",TUS,US
2040,America/Toronto,Woodstock,,XIP,CA
2041,Africa/Addis_Ababa,Axum,"{'lon': 38.716667, 'lat': 14.120833}",AXU,ET
2042,Europe/Copenhagen,Graasten,,XRA,DK
2043,Europe/Istanbul,Istanbul,"{'lon': 28.815277, 'lat': 40.976665}",IST,TR
2044,America/Chicago,Garden City,"{'lon': -100.72972, 'lat': 37.92861}",GCK,US
2045,America/New_York,Wapakoneta,"{'lon': -84.2, 'lat': 40.566666}",AXV,US
2046,America/Bahia,Itubera,"{'lon': -39.2, 'lat': -13.7}",ITE,BR
2047,Asia/Almaty,Arkalyk,"{'lon': 66.96667, 'lat': 50.316666}",AYK,KZ
2048,Africa/Addis_Ababa,Jimma,"{'lon': 36.82111, 'lat': 7.654444}",JIM,ET
2049,Europe/Copenhagen,Frederikshavn,,QFH,DK
2050,Asia/Shanghai,Fuoshan,"{'lon': 113.121416, 'lat': 23.021548}",FUO,CN
