,time_zone,name,coordinates,code,country_code
67,Pacific/Fiji,Vanuabalavu,"{'lon': -178.95, 'lat': -17.233334}",VBV,FJ
68,Africa/Lusaka,Mfuwe,"{'lon': 31.933332, 'lat': -13.266667}",MFU,ZM
69,America/Bogota,Planeta Rica,"{'lon': -75.6, 'lat': 8.416667}",PLC,CO
70,America/Chicago,Alexander City,"{'lon': -85.95, 'lat': 32.933334}",ALX,US
71,Africa/Cairo,Cairo,"{'lon': 31.40647, 'lat': 30.120106}",CAI,EG
72,America/Whitehorse,Mayo,"{'lon': -135.87361, 'lat': 63.61639}",YMA,CA
73,Europe/Athens,Kerkyra,"{'lon': 19.914644, 'lat': 39.60784}",CFU,GR
74,America/Chicago,Hobart,"{'lon': -99.1, 'lat': 35.016666}",HBR,US
75,Europe/Rome,Bari,"{'lon': 16.8683784, 'lat': 41.1259998}",BRI,IT
76,America/New_York,Charlotte,"{'lon': -80.8431267, 'lat': 35.2270869}",CLT,US
77,Africa/Ndjamena,Am Timan,"{'lon': 20.283333, 'lat': 11.033333}",AMC,TD
78,Europe/Zagreb,Pula,"{'lon': 13.923611, 'lat': 44.891666}",PUY,HR
79,Pacific/Port_Moresby,Olsobip,"{'lon': 141.5, 'lat': -5.466667}",OLQ,PG
80,America/Phoenix,Valle,"{'lon': -112.183334, 'lat': 35.65}",VLE,US
81,Europe/Amsterdam,Eindhoven,"{'lon': 5.4697225, 'lat': 51.441642}",EIN,NL
82,Pacific/Port_Moresby,Tonu,"{'lon': 155.59166, 'lat': -6.35}",TON,PG
83,America/Santiago,Antofagasta,"{'lon': -70.44079, 'lat': -23.449}",ANF,CL
84,America/Santiago,Vallenar,"{'lon': -70.761665, 'lat': -28.591667}",VLR,CL
85,Asia/Yekaterinburg,Khanty-Mansiysk,"{'lon': 69.09714, 'lat': 61.02613}",HMA,RU
86,America/La_Paz,Apolo,"{'lon': -68.51667, 'lat': -14.716667}",APB,BO
87,Pacific/Port_Moresby,Asapa,"{'lon': 148.13333, 'lat': -8.983333}",APP,PG
88,America/Mexico_City,Pinotepa Nacional,"{'lon': -98.06944, 'lat': 16.3425}",PNO,MX
89,America/Chicago,Magnolia,"{'lon': -93.23333, 'lat': 33.266666}",AGO,US
90,Asia/Manila,Cebu City,"{'lon': 123.98278, 'lat': 10.313333}",CEB,PH
91,America/Bogota,Arauquita,"{'lon': -71.43166, 'lat': 7.033056}",ARQ,CO
92,America/Porto_Velho,Ariquemes,"{'lon': -63.066666, 'lat': -9.933333}",AQM,BR
93,Africa/Niamey,Tahoua,"{'lon': 5.263889, 'lat': 14.872778}",THZ,NE
94,Europe/Zagreb,Dubrovnik,"{'lon': 18.260616, 'lat': 42.56072}",DBV,HR
95,America/Montreal,Roberval,"{'lon': -72.21667, 'lat': 48.516666}",YRJ,CA
96,Europe/Zagreb,Zagreb,"{'lon': 16.06152, 'lat': 45.733242}",ZAG,HR
97,Pacific/Port_Moresby,Aragip,"{'lon': 149.5, 'lat': -9.8}",ARP,PG
98,America/Toronto,Trenton,"{'lon': -77.583336, 'lat': 44.1}",YTR,CA
99,Europe/Rome,Cagliari,"{'lon': 9.060673, 'lat': 39.254333}",CAG,IT
100,Africa/Addis_Ababa,Asosa,"{'lon': 34.536667, 'lat': 10.047222}",ASO,ET
101,Asia/Kuching,Long Sukang,"{'lon': 115.5, 'lat': 4.55}",LSU,MY
102,Asia/Karachi,Attock,"{'lon': 72.25, 'lat': 33.9}",ATG,PK
103,Asia/Kuching,Bakalalan,"{'lon': 115.61667, 'lat': 3.966667}",BKM,MY
104,America/Anchorage,Tununak,"{'lon': -165.26666, 'lat': 60.57083}",TNK,US
105,Asia/Tashkent,Andizhan,"{'lon': 72.3, 'lat': 40.733334}",AZN,UZ
106,Europe/Helsinki,Turku,"{'lon': 22.28098, 'lat': 60.512794}",TKU,FI
107,Asia/Dushanbe,Kurgon-Tyube (Bokhtar),"{'lon': 68.86117, 'lat': 37.85961}",KQT,TJ
108,America/Chicago,Watertown,"{'lon': -97.15417, 'lat': 44.90889}",ATY,US
109,Africa/Addis_Ababa,Waca,"{'lon': 37.166668, 'lat': 7.166667}",WAC,ET
110,America/Chicago,Owatonna,"{'lon': -93.166664, 'lat': 44.1}",OWA,US
111,Pacific/Port_Moresby,Ambunti,"{'lon': 142.85, 'lat': -4.25}",AUJ,PG
112,Europe/Zaporozhye,Zaporozhye,"{'lon': 35.315834, 'lat': 47.8675}",OZH,UA
113,Asia/Karachi,Wana,"{'lon': 69.53333, 'lat': 32.333332}",WAF,PK
114,Australia/Brisbane,Warwick,"{'lon': 151.95, 'lat': -28.15}",WAZ,AU
115,Europe/Oslo,Bardufoss,"{'lon': 18.54, 'lat': 69.056114}",BDU,NO
116,Africa/Mogadishu,Eil,"{'lon': 49.8, 'lat': 7.916667}",HCM,SO
117,America/Chicago,Aurora,"{'lon': -88.316666, 'lat': 41.75}",AUZ,US
118,Asia/Qyzylorda,Kzyl-Orda,"{'lon': 65.59288, 'lat': 44.712223}",KZO,KZ
119,Europe/Warsaw,Szczecin,"{'lon': 14.5528116, 'lat': 53.4285438}",SZZ,PL
120,Europe/Warsaw,Kolobrzeg,,QJY,PL
121,America/Havana,Ciego De Avila,"{'lon': -78.79139, 'lat': 22.025}",AVI,CU
122,Asia/Baku,Lankaran,"{'lon': 48.824093, 'lat': 38.74203}",LLK,AZ
123,Europe/London,Birmingham,"{'lon': -1.893592, 'lat': 52.4829614}",BHX,GB
124,America/Chicago,Borger,"{'lon': -101.4, 'lat': 35.65}",BGD,US
125,Europe/Istanbul,Izmir,"{'lon': 27.16, 'lat': 38.29}",IZM,TR
126,America/New_York,Wilkes-Barre,"{'lon': -75.8813075, 'lat': 41.2459149}",AVP,US
127,America/Anchorage,Holy Cross,"{'lon': -159.77167, 'lat': 62.18889}",HCR,US
128,America/Anchorage,Anchorage,"{'lon': -149.9002778, 'lat': 61.2180556}",ANC,US
129,Europe/Bucharest,Baia Mare,"{'lon': 23.466667, 'lat': 47.65}",BAY,RO
130,Asia/Jakarta,Tapaktuan,"{'lon': 97.183334, 'lat': 3.266667}",TPK,ID
131,Asia/Almaty,Taraz,"{'lon': 71.36667, 'lat': 42.9}",DMB,KZ
132,Europe/Berlin,Bremen,"{'lon': 8.785352, 'lat': 53.05297}",BRE,DE
133,America/Havana,Baracoa,"{'lon': -74.5, 'lat': 20.35}",BCA,CU
134,America/Chicago,Bradford,"{'lon': -89.65, 'lat': 41.183334}",BDF,US
135,Asia/Yakutsk,Lensk,"{'lon': 114.83152, 'lat': 60.72248}",ULK,RU
136,America/Belize,Big Creek,"{'lon': -88.4, 'lat': 16.516666}",BGK,BZ
137,Asia/Kuala_Lumpur,Penang,"{'lon': 100.265175, 'lat': 5.292961}",PEN,MY
138,Asia/Kathmandu,Bharatpur,"{'lon': 84.4325, 'lat': 27.67639}",BHR,NP
139,Asia/Jakarta,Aek Godang,"{'lon': 99.416664, 'lat': 1.399722}",AEG,ID
140,Asia/Kolkata,Kochi,"{'lon': 76.39053, 'lat': 10.155644}",COK,IN
141,Atlantic/Azores,Pico Island (Azores),"{'lon': -28.3, 'lat': 38.466667}",PIX,PT
142,Pacific/Port_Moresby,Wagau,"{'lon': 146.8, 'lat': -6.8}",WGU,PG
143,Europe/Tallinn,Kuressaare,"{'lon': 22.5, 'lat': 58.216667}",URE,EE
144,America/Chicago,Austin,"{'lon': -97.7430608, 'lat': 30.267153}",AUS,US
145,America/Winnipeg,Round Lake,"{'lon': -91.316666, 'lat': 52.95}",ZRJ,CA
146,Asia/Irkutsk,Bodaybo,"{'lon': 114.2425, 'lat': 57.86639}",ODO,RU
147,America/Aruba,Aruba,"{'lon': -70.013885, 'lat': 12.502222}",AUA,AW
148,Pacific/Noumea,Noumea,"{'lon': 166.458, 'lat': -22.2758}",NOU,NC
149,Pacific/Auckland,Surfdale,"{'lon': 175.08333, 'lat': -36.833332}",WIK,NZ
150,America/Anchorage,Healy Lake,"{'lon': -148.96666, 'lat': 63.86667}",HKB,US
151,Asia/Kolkata,Kolkata,"{'lon': 88.43931, 'lat': 22.64531}",CCU,IN
152,Europe/Zurich,Thun,,ZTK,CH
153,America/Denver,Salt Lake City,"{'lon': -111.980675, 'lat': 40.785645}",SLC,US
